代码,买入时间,买入价格,买入数量,买入金额,分红,卖出时间,卖出价格,盈利金额,盈利百分比
510050,2024/3/12,2.484,2000,4968,,2024/4/26,2.501,34,0.68%
512480,2024/3/12,0.747,6600,4930.2,,2024/7/19,0.771,158.4,3.21%
513050,2024/3/12,0.916,5400,4946.4,,2024/4/24,0.998,442.8,8.95%
513550,2024/3/12,0.72,6900,4968,,2024/4/25,0.745,172.5,3.47%
512880,2024/3/12,0.908,5500,4994,,2024/9/26,0.92,66,1.32%
600030,2024/3/12,21.41,200,4282,0.475,2024/9/25,21.42,97,2.27%
510050,2024/3/13,2.472,2000,4944,,2024/4/26,2.501,58,1.17%
510050,2024/3/13,2.462,2000,4924,,2024/4/26,2.501,78,1.58%
510050,2024/3/13,2.456,2000,4912,,2024/4/26,2.501,90,1.83%
600030,2024/3/13,21.12,200,4224,0.475,2024/9/25,21.42,155,3.67%
512880,2024/3/15,0.89,11200,9968,,2024/9/25,0.895,56,0.56%
513550,2024/3/20,0.709,7000,4963,,2024/4/25,0.745,252,5.08%
159915,2024/3/25,1.803,2200,3966.6,,2024/9/26,1.672,-288.2,-7.27%
600030,2024/3/25,19.55,200,3910,,2024/7/31,19.87,64,1.64%
600030,2024/4/15,17.32,200,3464,,2024/4/26,18.87,310,8.95%
LMT,2024/4/16,456.76,3,1370.28,9.45,,,,
159915,2024/4/19,1.697,2400,4072.8,,2024/4/29,1.831,321.6,7.90%
510050,2024/4/25,2.45,2000,4900,,2024/4/26,2.501,102,2.08%
512170,2024/4/25,0.32,15600,4992,,2024/4/29,0.34,312,6.25%
512880,2024/4/25,0.828,6000,4968,,2024/4/26,0.87,252,5.07%
600030,2024/4/25,18.28,200,3656,,2024/4/30,19.08,160,4.38%
159865,2024/4/26,0.612,11400,6976.8,,2024/5/14,0.673,695.4,9.97%
512880,2024/4/26,0.84,5900,4956,,2024/4/26,0.878,224.2,4.52%
TLT,2024/4/26,88.575,11,974.325,2.1611,,,,
600030,2024/5/8,18.83,300,5649,,2024/7/22,19.83,300,5.31%
512480,2024/5/20,0.694,11500,7981,,2024/6/20,0.757,724.5,9.08%
600737,2024/5/20,10.3,500,5150,0.63,2024/9/30,9.82,75,1.46%
512170,2024/5/29,0.325,21400,6955,,2024/10/8,0.387,1326.8,19.08%
518880,2024/6/13,5.265,900,4738.5,,2024/7/12,5.464,179.1,3.78%
512880,2024/6/14,0.82,10400,8528,,2024/9/25,0.895,780,9.15%
159865,2024/6/18,0.606,11500,6969,,,,,
159865,2024/6/21,0.6,8400,5040,,,,,
513050,2024/6/21,1.055,4700,4958.5,,2024/7/12,1.084,136.3,2.75%
159865,2024/7/23,0.576,8700,5011.2,,,,,
159915,2024/7/23,1.667,2900,4834.3,,2024/9/26,1.672,14.5,0.30%
600030,2024/7/29,19.03,200,3806,,2024/7/31,19.23,40,1.05%
159915,2024/8/1,1.637,2900,4747.3,,2024/8/1,1.638,2.9,0.06%
518880,2024/8/7,5.33,1000,5330,,,,,
159865,2024/8/13,0.564,10600,5978.4,,,,,
600030,2024/8/13,18.84,300,5652,,2024/8/23,18.86,6,0.11%
159915,2024/8/29,1.517,3300,5006.1,,2024/9/2,1.542,82.5,1.65%
159865,2024/8/30,0.509,11800,6006.2,,2024/9/30,0.608,1168.2,19.45%
159865,2024/10/10,0.596,8300,4946.8,,,,,
159865,2024/10/10,0.589,8300,4888.7,,,,,
159865,2024/10/10,0.585,8300,4855.5,,,,,
159865,2024/10/10,0.583,8300,4838.9,,,,,
159865,2024/10/11,0.564,8900,5019.6,,,,,
TLT,2024/10/11,93.565,11,1029.215,0.3105,,,,
